Item Name,Qty,Price (total) (USD),Item link,Notes
nRF52840 ProMicro,1,$0.99,https://www.aliexpress.com/item/1005007383270623.html,"Any nice!nano compatible board should work, check pcb footprint though"
ICM-20948 Breakout Board,1,$4.20,https://www.aliexpress.com/item/1005009307235033.html,"You can get a different IMU, but you have to code the sensor fusion code yourself"
Right Angle Buttons,2,$0.99,https://www.aliexpress.com/item/1005010093330224.html,Make sure you get the right length (6x6x7)
JST-PH Connector,1,$0.99,https://www.aliexpress.com/item/1005008970428474.html,Make sure you get the right connector (right angle)
ALPS RKJXV Joystick,1,$0.99,https://www.aliexpress.com/item/1005009112250803.html,Make sure you get the PS4 style joystick
Soft Tactile Pushbutton,8,$0.99,https://www.aliexpress.com/item/1005004588874318.html,"Do not substitute for regular clicky buttons, they are not the same footprint"
M3x5x4 Inserts,4,$0.99,https://www.aliexpress.com/item/1005011959188413.html,Ships as 100
M3x6 screws,4,$0.99,https://www.aliexpress.com/item/32794842281.html,Ships as 100
3.7v 500 mah lipo,1,$0.99,https://www.aliexpress.com/item/1005001485127987,"Really anything works here so long as it meets the 5mm thick, up to 35mm by 80mm dimension requirement and has a jst ph 2.0 connector"
PCB,1,$3.50,https://github.com/hephaestushex/HexMote/blob/2a16dff57269423145945d0d09d0ee5307a6468b/pcb/production/hexmote_pcb.zip,"Link is to gerber files, JLC ships the total for 3.50 to Canada"
Case,1,$1.00,https://github.com/hephaestushex/HexMote/blob/d6d5b4342bca9d7315f2470e53cb6bb6a80dd431/cad/3d%20print.3mf,Price differs based on filament. Bambu Lab PLA Matte is used here
Total Price (USD):,,$16.62,,
